report_year,technology_description,weighted_avg_capex_per_mw
1994,Coal,409453.50426471647
1995,Coal,466083.8264463052
1996,Coal,492690.1035718166
1997,Coal,488910.7579730645
1998,Coal,497825.8015649168
1999,Coal,470154.65223429236
2000,Coal,467755.9653459213
2001,Coal,485122.5337295978
2002,Coal,504328.64660597336
2003,Coal,537169.2946162566
2004,Coal,559483.4558908701
2005,Coal,575950.4296149752
2006,Coal,574603.648907515
2007,Coal,594970.775256931
2008,Coal,657977.8069916728
2009,Coal,702330.5750762653
2010,Coal,767316.2486985371
2011,Coal,818443.158497154
2012,Coal,849061.7563943317
2013,Coal,867883.3943789665
2014,Coal,904277.0318941968
2015,Coal,985248.5418325285
2016,Coal,1048488.1769802052
2017,Coal,1064966.693770367
2018,Coal,1114681.7008854486
2019,Coal,1168817.2218161193
2020,Coal,1191593.881216863
2021,Coal,1256267.4206615305
2022,Coal,1283336.3881494633
2023,Coal,1248150.175539241
1995,Geothermal,2672052.8
2001,Geothermal,2708012.8
2002,Geothermal,2701921.0
2003,Geothermal,2730342.5
2004,Geothermal,2749100.4999999995
2005,Geothermal,2742908.9
2006,Geothermal,2768395.0999999996
2007,Geothermal,2983113.5
2008,Geothermal,3051735.0
2009,Geothermal,3128778.2
2010,Geothermal,3129752.7
2011,Geothermal,3135614.5
2012,Geothermal,3162608.7
2013,Geothermal,3217183.6
2014,Geothermal,3986538.2
2015,Geothermal,4015776.4
2016,Geothermal,4018006.1999999997
2017,Geothermal,4032972.2000000007
2018,Geothermal,4064273.3999999994
2019,Geothermal,4065946.7
2020,Geothermal,4167129.7000000007
2021,Geothermal,4225553.0
2022,Geothermal,4253034.0
2023,Geothermal,4268530.0
1994,Natural Gas Fired CC,237155.8265279267
1995,Natural Gas Fired CC,379054.9041391686
1996,Natural Gas Fired CC,388240.5919301752
1997,Natural Gas Fired CC,367025.1456381046
1998,Natural Gas Fired CC,393729.6797358778
1999,Natural Gas Fired CC,413593.74055496114
2000,Natural Gas Fired CC,429231.25314436
2001,Natural Gas Fired CC,402429.6734359746
2002,Natural Gas Fired CC,407127.7252346462
2003,Natural Gas Fired CC,415357.22135216644
2004,Natural Gas Fired CC,409958.19701752876
2005,Natural Gas Fired CC,410150.15784810606
2006,Natural Gas Fired CC,420116.93204448157
2007,Natural Gas Fired CC,456903.60347061063
2008,Natural Gas Fired CC,479407.77473076753
2009,Natural Gas Fired CC,482435.1017608772
2010,Natural Gas Fired CC,516671.68898190843
2011,Natural Gas Fired CC,565780.1498581284
2012,Natural Gas Fired CC,607665.9220381612
2013,Natural Gas Fired CC,642388.3644495982
2014,Natural Gas Fired CC,662186.9956301642
2015,Natural Gas Fired CC,677055.0441599181
2016,Natural Gas Fired CC,706919.2943007097
2017,Natural Gas Fired CC,721826.4723763451
2018,Natural Gas Fired CC,715226.3763645862
2019,Natural Gas Fired CC,673347.7344534455
2020,Natural Gas Fired CC,708318.2908625982
2021,Natural Gas Fired CC,682713.7090137844
2022,Natural Gas Fired CC,690554.4861097139
2023,Natural Gas Fired CC,686018.3705696972
1994,Natural Gas Fired CT,220647.82165458144
1995,Natural Gas Fired CT,212377.11588373256
1996,Natural Gas Fired CT,234757.40972612766
1997,Natural Gas Fired CT,208992.50195382335
1998,Natural Gas Fired CT,224563.37060223258
1999,Natural Gas Fired CT,221867.57833894895
2000,Natural Gas Fired CT,233407.55851808566
2001,Natural Gas Fired CT,248297.24331661614
2002,Natural Gas Fired CT,255773.70537612552
2003,Natural Gas Fired CT,277114.90542038425
2004,Natural Gas Fired CT,262433.22313465824
2005,Natural Gas Fired CT,262626.5752773345
2006,Natural Gas Fired CT,255040.89746721476
2007,Natural Gas Fired CT,269872.6038071484
2008,Natural Gas Fired CT,291476.77862130053
2009,Natural Gas Fired CT,306733.0084700267
2010,Natural Gas Fired CT,321442.8901080484
2011,Natural Gas Fired CT,325185.58391723246
2012,Natural Gas Fired CT,333110.5459853088
2013,Natural Gas Fired CT,334127.88667781005
2014,Natural Gas Fired CT,344945.3212503508
2015,Natural Gas Fired CT,340815.84864779765
2016,Natural Gas Fired CT,364521.8287588324
2017,Natural Gas Fired CT,383408.17116544157
2018,Natural Gas Fired CT,378607.76010264485
2019,Natural Gas Fired CT,377474.0294106267
2020,Natural Gas Fired CT,387113.5553771181
2021,Natural Gas Fired CT,391108.03784357925
2022,Natural Gas Fired CT,413901.3005991987
2023,Natural Gas Fired CT,420237.73067205667
1994,Nuclear,1104542.672838307
1995,Nuclear,1112551.8159983426
1996,Nuclear,1232474.61409029
1997,Nuclear,1342933.4956782567
1998,Nuclear,1168820.9023252223
1999,Nuclear,1166134.7096125826
2000,Nuclear,1327032.2387583668
2001,Nuclear,1332810.821207141
2002,Nuclear,1315398.6677404558
2003,Nuclear,1389847.5747981695
2004,Nuclear,1479987.4360304608
2005,Nuclear,1505087.543808622
2006,Nuclear,1471387.3431416631
2007,Nuclear,1485781.4266479064
2008,Nuclear,1541038.4581913745
2009,Nuclear,1530803.1347498097
2010,Nuclear,1542132.2537843783
2011,Nuclear,1610445.35764665
2012,Nuclear,1666701.463505772
2013,Nuclear,1726833.6663240315
2014,Nuclear,1841473.9974463102
2015,Nuclear,1818043.452171875
2016,Nuclear,2073941.8550036564
2017,Nuclear,2116624.79899652
2018,Nuclear,2069104.5360344667
2019,Nuclear,2454287.1558927395
2020,Nuclear,2335991.6528346315
2021,Nuclear,2231394.575288273
2022,Nuclear,2316607.1541473204
2023,Nuclear,2442925.583273137
2008,Onshore Wind Turbine,1491059.1624600464
2009,Onshore Wind Turbine,1615511.7020412898
2010,Onshore Wind Turbine,1799577.375016156
2011,Onshore Wind Turbine,1938702.8889879794
2012,Onshore Wind Turbine,1866841.9033226368
2013,Onshore Wind Turbine,1868603.7547567633
2014,Onshore Wind Turbine,1878010.8815064142
2015,Onshore Wind Turbine,1866937.1492963117
2016,Onshore Wind Turbine,1889743.351783058
2017,Onshore Wind Turbine,1819008.2090532663
2018,Onshore Wind Turbine,1825772.1181124484
2019,Onshore Wind Turbine,1782524.9832692777
2020,Onshore Wind Turbine,1800028.598145925
2021,Onshore Wind Turbine,1799324.6787946492
2022,Onshore Wind Turbine,1687298.3161358524
2023,Onshore Wind Turbine,1692577.4610364358
1994,Other,382642.1684095924
1995,Other,380713.3963852885
1996,Other,352820.9236433304
1997,Other,351360.68428328173
1998,Other,411682.02326179424
1999,Other,353695.7483633995
2000,Other,360851.2884047916
2001,Other,353658.7658258537
2002,Other,353406.4537315006
2003,Other,237177.91723253683
2004,Other,226312.42619598153
2005,Other,224900.7473803844
2006,Other,225863.5491831477
2007,Other,234468.72267944345
2008,Other,236747.37972390914
2009,Other,259833.94684672312
2010,Other,260794.9656879551
2011,Other,260239.86860828704
2012,Other,264239.6806545729
2013,Other,661858.1575629641
2014,Other,598474.4487681489
2015,Other,748806.7102354816
2016,Other,743720.7481864743
2017,Other,759246.6607161555
2018,Other,812743.229617492
2019,Other,775382.4272019895
2020,Other,727922.9773933323
2021,Other,649129.004324202
2022,Other,672774.1744165778
2023,Other,654860.8966429048
1994,Other Natural Gas,189305.6864517545
1995,Other Natural Gas,200584.47011830474
1996,Other Natural Gas,212426.96553967032
1997,Other Natural Gas,215544.07883395845
1998,Other Natural Gas,214588.49390084256
1999,Other Natural Gas,219669.0685877982
2000,Other Natural Gas,221030.01198312262
2001,Other Natural Gas,229268.39006135633
2002,Other Natural Gas,230255.7233855951
2003,Other Natural Gas,266512.6814972047
2004,Other Natural Gas,282935.35840732616
2005,Other Natural Gas,292556.2401862271
2006,Other Natural Gas,297498.03136400844
2007,Other Natural Gas,328528.8549353332
2008,Other Natural Gas,353136.3223867554
2009,Other Natural Gas,366989.875104265
2010,Other Natural Gas,396927.9919151069
2011,Other Natural Gas,418429.416134536
2012,Other Natural Gas,467716.517483204
2013,Other Natural Gas,481654.2438789779
2014,Other Natural Gas,529669.3520041094
2015,Other Natural Gas,502227.888772213
2016,Other Natural Gas,535716.1716251575
2017,Other Natural Gas,528478.112959604
2018,Other Natural Gas,540487.7707417189
2019,Other Natural Gas,627912.1028291561
2020,Other Natural Gas,599614.8095664815
2021,Other Natural Gas,541686.4811963042
2022,Other Natural Gas,631054.9144929316
2023,Other Natural Gas,610929.1013913907
1994,Solar Photovoltaic,259779.0174685418
1995,Solar Photovoltaic,250322.7350877193
1996,Solar Photovoltaic,255888.78070175438
1997,Solar Photovoltaic,325430.7
1998,Solar Photovoltaic,239204.3245614035
1999,Solar Photovoltaic,250323.48245614034
2000,Solar Photovoltaic,100758.8
2001,Solar Photovoltaic,101358.7
2002,Solar Photovoltaic,106214.9
2003,Solar Photovoltaic,107469.9
2004,Solar Photovoltaic,107422.4
2005,Solar Photovoltaic,107423.1
2006,Solar Photovoltaic,107423.1
2007,Solar Photovoltaic,115790.9
2010,Solar Photovoltaic,128733.69999999998
2011,Solar Photovoltaic,129288.19999999998
2012,Solar Photovoltaic,131214.1
2013,Solar Photovoltaic,131792.5
2014,Solar Photovoltaic,132568.5
2015,Solar Photovoltaic,382777.5349831271
2016,Solar Photovoltaic,1286839.718334265
2017,Solar Photovoltaic,1380496.006680265
2018,Solar Photovoltaic,1521454.357803132
2019,Solar Photovoltaic,1449026.3307501753
2020,Solar Photovoltaic,1568148.1861163587
2021,Solar Photovoltaic,1333636.7662392207
2022,Solar Photovoltaic,1353724.343357383
2023,Solar Photovoltaic,1451142.9475537771
